City ID,City,Country,Latitude,Longitude,Max Temperature,Humidity,Percent Clouds,Wind Speed,Description,Date
112,Arles,FR,43.6768,4.6303,76.59,56,0,11.5,clear sky,2021-06-13 01:53:46
113,Bagotville,AU,-28.9833,153.4167,64.63,60,0,6.2,clear sky,2021-06-13 01:53:47
114,Clyde River,CA,70.4692,-68.5914,34.03,93,90,18.41,overcast clouds,2021-06-13 01:53:47
115,Nikolskoye,RU,59.7035,30.7861,59.4,90,63,5.01,broken clouds,2021-06-13 01:53:47
116,Bam,IR,29.106,58.357,92.59,9,1,6.53,clear sky,2021-06-13 01:53:48
117,Krk,HR,45.0258,14.5731,72.59,69,52,3.96,broken clouds,2021-06-13 01:53:48
118,Kruisfontein,ZA,-34.0033,24.7314,52.88,71,35,4.12,scattered clouds,2021-06-13 01:53:48
119,Marbella,ES,36.5154,-4.8858,72.25,78,0,2.95,clear sky,2021-06-13 01:53:49
120,Srednekolymsk,RU,67.45,153.6833,69.98,24,99,8.19,overcast clouds,2021-06-13 01:53:49
121,Winder,US,33.9926,-83.7202,82.71,83,90,0.0,overcast clouds,2021-06-13 01:50:09
122,Freeport,US,40.6576,-73.5832,65.07,84,1,1.99,clear sky,2021-06-13 01:51:40
123,Alofi,NU,-19.0595,-169.9187,76.89,57,81,20.71,broken clouds,2021-06-13 01:53:50
124,Suluq,LY,31.6682,20.2521,69.03,78,7,6.22,clear sky,2021-06-13 01:53:50
125,Husavik,IS,66.0449,-17.3389,40.91,76,100,8.61,overcast clouds,2021-06-13 01:53:50
126,Bonthe,SL,7.5264,-12.505,79.39,83,86,5.95,light rain,2021-06-13 01:53:51
127,Dingle,PH,10.9995,122.6711,82.99,76,95,2.95,overcast clouds,2021-06-13 01:53:51
128,Ariquemes,BR,-9.9133,-63.0408,72.03,81,100,2.75,overcast clouds,2021-06-13 01:53:51
129,Ishigaki,JP,24.3448,124.1572,86.13,84,75,12.66,moderate rain,2021-06-13 01:53:52
130,Chokurdakh,RU,70.6333,147.9167,50.16,86,100,7.87,moderate rain,2021-06-13 01:53:52
131,Taoudenni,ML,22.6783,-3.9836,97.88,11,5,12.71,clear sky,2021-06-13 01:53:52
132,Tezu,IN,27.9167,96.1667,88.36,61,62,2.37,broken clouds,2021-06-13 01:53:53
133,Iqaluit,CA,63.7506,-68.5145,38.93,75,20,8.01,few clouds,2021-06-13 01:53:53
134,Thompson,CA,55.7435,-97.8558,51.96,93,90,10.36,overcast clouds,2021-06-13 01:53:53
135,Kropotkin,RU,45.4375,40.5756,60.37,91,73,3.83,broken clouds,2021-06-13 01:53:54
136,Fereydunshahr,IR,32.941,50.121,57.88,22,0,2.42,clear sky,2021-06-13 01:53:54
137,Mercedes,AR,-34.6515,-59.4307,60.84,89,0,8.88,clear sky,2021-06-13 01:56:54
138,Lola,GN,7.8,-8.5333,70.57,98,100,0.58,light rain,2021-06-13 01:56:55
139,Sao Filipe,CV,14.8961,-24.4956,75.16,85,97,6.08,overcast clouds,2021-06-13 01:56:55
